,ast_element,average
0,->,0.03932178932178932
1,+=,0.1323502886002886
2,assignment,4.171852453102453
3,float,0.18168290043290045
4,dictionary,0.2113546176046176
5,},0.2765151515151515
6,dotted_name,0.10930735930735931
7,typed_parameter,0.06543109668109669
8,[,2.5492424242424243
9,parenthesized_list_splat,0.0
10,",",7.439935064935065
11,in,0.8885281385281385
12,with_item,0.07228535353535354
13,parameters,1.0737734487734487
14,pattern,0.0
15,boolean_operator,0.3094787157287157
16,type,0.1359126984126984
17,pair,0.332747113997114
18,=,6.53648088023088
19,{,0.2765151515151515
20,list_pattern,0.0025703463203463205
21,finally_clause,0.012355699855699856
22,continue_statement,0.05808080808080808
23,call,5.9563943001443
24,named_expression,0.0
25,raise_statement,0.30582611832611833
26,as_pattern_target,0.09474206349206349
27,import_statement,0.01636904761904762
28,string,5.523178210678211
29,expression_list,0.08351370851370851
30,*=,0.004915223665223665
31,%,0.24224386724386723
32,<>,4.5093795093795094e-05
33,pass_statement,0.049873737373737376
34,while,0.046807359307359304
35,as,0.10917207792207792
36,or,0.14191017316017315
37,slice,0.18213383838383837
38,nonlocal,0.00036075036075036075
39,assert,0.04256854256854257
40,.,9.292613636363637
41,@,0.012626262626262626
42,set_comprehension,0.001893939393939394
43,case_clause,0.0
44,typed_default_parameter,0.025883838383838384
45,%=,0.00018037518037518038
46,decorated_definition,0.01158910533910534
47,*,0.3099296536796537
48,:,5.081574675324675
49,attribute,7.716810966810967
50,break,0.03706709956709957
51,binary_operator,0.8901966089466089
52,+,0.4935966810966811
53,else,0.4895833333333333
54,global,0.01452020202020202
55,type_conversion,4.5093795093795094e-05
56,:=,0.0
57,chevron,0.001443001443001443
58,for_statement,0.35502344877344877
59,&=,0.000496031746031746
60,class_definition,0.0035624098124098125
61,except,0.18957431457431456
62,<<=,4.5093795093795094e-05
63,//,0.014384920634920634
64,|=,0.0036976911976911975
65,conditional_expression,0.07963564213564213
66,aliased_import,0.01443001443001443
67,concatenated_string,0.0882936507936508
68,positional_separator,0.0
69,"""",11.04825036075036
70,-=,0.01415945165945166
71,^,0.0018037518037518038
72,tuple,0.3213383838383838
73,^=,0.000496031746031746
74,comment,1.5653409090909092
75,decorator,0.012626262626262626
76,<<,0.004193722943722944
77,import_prefix,0.0174512987012987
78,!=,0.09478715728715728
79,>>,0.005411255411255411
80,for_in_clause,0.18447871572871574
81,],2.5492424242424243
82,yield,0.05704365079365079
83,argument_list,6.16765873015873
84,true,0.2923430735930736
85,break_statement,0.03706709956709957
86,set,0.0036075036075036075
87,global_statement,0.01452020202020202
88,with,0.07057178932178933
89,>=,0.037247474747474744
90,del,0.023268398268398268
91,with_statement,0.0652507215007215
